module,type,name,res_id,src,value,comments
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_prepare_creditnote_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_print_label_sale_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_print_label_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_productprice_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_sale_order_print_label_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_search_product_line_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_search_product_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_transfertcompta_write_uid,Last Updated by,Dernière mise à jour par,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_department_write_date,Last Updated on,Dernière mise à jour le,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_family_write_date,Last Updated on,Dernière mise à jour le,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_general_settings_write_date,Last Updated on,Dernière mise à jour le,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_labelmodel_write_date,Last Updated on,Dernière mise à jour le,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_module_option_write_date,Last Updated on,Dernière mise à jour le,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_palletization_line_write_date,Last Updated on,Dernière mise à jour le,
